Bữa sáng,Bữa phụ,Bữa trưa,Bữa tối,Chế độ ăn,Táo bón,Béo phì,Tim mạch,Mỡ trong máu,Huyết áp,Thiếu máu,Thiếu kẽm,Thiếu canxi,Suy dinh dưỡng,Tiểu đường,Tình trạng sức khỏe,Mục tiêu
Sữa chua thực vật + trái cây,Sữa chua thực vật,Đậu hũ sốt cà chua; Rau muống xào tỏi; Canh Rong Mứt Chay,Xào chay thập cẩm với nấm bào ngư; Đậu phụ sốt; Rau củ luộc,chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Chuối + sữa chua,Hạt ngũ cốc ,Rau muống xào tỏi; Khoai lang; Ức gà áp chảo,Cơm gà Hội An; Cải thìa xào,Không chay,0,1,1,1,0,0,0,0,0,1,"Béo phì, Tim mạch, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc + bánh karo,Sữa chua Hy Lạp + đào,Rau muống hấp/luộc tỏi; Khoai lang; Canh mồng tơi,Bánh mì bơ đường; Rau luộc; Trứng luộc,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Ngũ cốc nguyên hạt + sữa hạt,Táo xanh,Canh gà lá giang; Miến; Kim chi ít cay,Canh kim chi Hàn Quốc; Đậu phụ sốt,Không chay,1,0,1,0,0,0,0,0,0,1,"Táo bón, Tim mạch, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp + sữa hạt,Thanh protein,Hủ tiếu Nam Vang; Ức gà áp chảo; Cải thìa xào,Bánh rán Doraemon; Salad trộn ít dầu; Tôm nướng,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + hạt chia,Chè nha đam,Chân giò hầm hạt sen; Bún; Ức gà áp chảo,Phở gà; Canh rau ngót,Không chay,0,1,1,1,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sinh tố protein whey,Thanh protein,Bánh rán Doraemon; Đậu phụ sốt; Cải thìa xào,Bánh rán Doraemon; Rau luộc; Cá hấp,Không chay,1,1,0,0,0,0,0,0,0,0,"Táo bón, Béo phì","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Sữa ngũ cốc,Táo xanh,Canh Bông Hẹ Đậu Hũ (Món Chay); Khoai lang; Kim chi ít cay,Cải thìa sốt nấm đông cô và sườn gà chay; Salad trộn ít dầu,Không chay,0,1,1,0,1,1,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối + sữa chua,Hạt ngũ cốc ,Khoai tây kho chay; Khoai lang; Cải thìa xào,Nem Thính Rong Sụn Chay; Rau củ luộc,Không chay,0,1,1,1,0,0,0,0,0,1,"Béo phì, Tim mạch, Rối loạn mỡ máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc,Cam sành,Onigirazu (Sushi Sandwich) (Vegan); Phở; Cá hấp,Bún Thái chay; Cải thìa xào,Không chay,1,1,0,0,0,1,0,0,0,0,"Táo bón, Béo phì, Thiếu máu","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Khoai lang hấp,Hạt ngũ cốc,Bông Bí Xào Tỏi Chay; Rau luộc; Canh Mồng Tơi Nấu Nấm Mỡ Chay,Đậu bắp luộc chấm mắm ruốc; Cải thìa xào,chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Chuối + sữa chua,Hạt ngũ cốc ,Bánh bông lan trứng muối; Cải thìa xào; Canh bí đỏ,Bánh khoai mì nướng; Rau muống xào tỏi; Tôm nướng,Không chay,0,1,1,1,0,1,0,0,0,1,"Béo phì, Tim mạch, Rối loạn mỡ máu, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Ngũ cốc nguyên hạt + sữa hạt,Thanh protein,Tôm rim mặn ngọt; Bún; Salad trộn ít dầu,Lẩu mắm miền Tây; Tôm nướng; Rau luộc,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + sữa hạt + chuối,Thanh protein,Hủ tiếu Nam Vang; Bò xào nhẹ; Salad trộn ít dầu,Canh đậu hũ non hải sản; Rau luộc,Không chay,0,1,1,1,1,0,1,1,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu kẽm, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung kẽm và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc,Chè củ sen,Cơm niêu cá kho tộ; Canh rau ngót; Canh cá nấu rau,Nghêu hấp sả; Ức gà áp chảo; Salad trộn ít dầu,Không chay,0,0,1,0,1,1,0,0,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc,Chè nha đam hạt sen,Lẩu cá kèo lá giang; Miến; Rau củ luộc,Lẩu vịt nấu chao; Cá hấp; Rau củ luộc,Không chay,1,0,0,0,0,1,0,0,1,0,"Táo bón, Thiếu máu, Suy dinh dưỡng","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm"
Mì xào keto nấm cà chua,Cam,Bò xào cần tỏi; Bún; Canh chua,Bánh khoai mì nướng; Salad trộn ít dầu; Tôm nướng,Không chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Yến mạch + sữa hạt,Đậu hũ non,Nấm Lộc Nhung Xào Cải Rổ Chay; Cơm Chiên Chay Trái Thơm; Miến xào tam sắc (món chay),Chả cốm chay; Rau củ luộc; Đậu phụ hấp,chay,0,0,0,0,1,0,0,1,0,0,"Huyết áp, Thiếu canxi","Giảm muối, ổn định huyết áp, Bổ sung canxi và vitamin D"
Khoai lang hấp,Chè nha đam hạt sen,Cơm tấm sườn bì chả; Rau muống xào tỏi; Canh cá nấu rau,Chân giò hầm hạt sen; Tôm nướng; Salad trộn ít dầu,Không chay,0,1,1,0,1,0,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Đậu hũ xào rau củ,Sữa chua thực vật,Chà bông (ruốc) chay lúa mạch; Canh Rong Mứt Chay; Cải thìa xào,Salad Đậu Thận Thuần Chay; Rau củ luộc; Canh măng tây đậu hủ chay,chay,0,1,1,0,1,0,0,1,0,1,"Béo phì, Tim mạch, Huyết áp, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Xôi ngũ cốc,Cam,Bánh tiêu nhân đậu xanh; Cải thìa xào; Canh cá nấu rau,Cơm ba chỉ kho tàu; Canh rau ngót; Tôm nướng,Không chay,0,1,0,0,0,1,0,0,0,0,"Béo phì, Thiếu máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Ngũ cốc nguyên hạt + sữa hạt,Chè củ sen,Lẩu cá kèo lá giang; Bánh mì; Rau luộc,Cháo sườn; Rau củ luộc,Không chay,0,1,1,0,0,0,0,0,0,1,"Béo phì, Tim mạch, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Hạt ngũ cốc ,Lòng non xào dưa chua; Khoai lang; Trứng luộc,Cơm nắm muối mè; Canh rau ngót; Tôm nướng,Không chay,0,1,1,0,0,1,0,0,0,1,"Béo phì, Tim mạch, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + sữa hạt,Sữa chua thực vật,Tàu hủ ky tươi hấp/luộc lăn (chay); Mọc Chay; Rau luộc,Mì chay sốt dầu mè; Cải thìa xào; Cơm hấp/luộc rong biển cá mặn chay,chay,0,0,1,1,1,0,0,1,1,1,"Tim mạch, Huyết áp, Rối loạn mỡ máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Chuối + sữa chua,Chè bí đỏ,Cơm chiên dương châu; Trứng luộc; Cải thìa xào,Bánh mì heo quay; Cải thìa xào,Không chay,0,0,0,0,1,1,0,0,0,0,"Huyết áp, Thiếu máu","Giảm muối, ổn định huyết áp, Bổ sung sắt, tăng cường máu"
Sinh tố protein whey,Sữa chua Hy Lạp + đào,Lẩu tôm chua cay; Miến; Rau luộc,Cá lóc hấp bầu; Salad trộn ít dầu,Không chay,0,0,1,0,1,0,0,1,1,1,"Tim mạch, Huyết áp, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp +dâu,Cam,Canh bí đỏ hầm xương; Miến; Bò xào nhẹ,Cơm niêu cá kho tộ; Canh rau ngót,Không chay,0,1,0,0,0,0,0,1,0,0,"Béo phì, Thiếu canxi","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung canxi và vitamin D"
Xôi ngũ cốc,Cam,Bún chả cá; Cải thìa xào; Canh mồng tơi,Cơm gà Hải Nam; Rau muống xào tỏi,Không chay,0,1,1,0,0,1,0,0,0,1,"Béo phì, Tim mạch, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Ngũ cốc nguyên hạt + sữa hạt,Táo xanh,Bánh bèo Huế; Tôm nướng; Canh rau ngót,Hủ tiếu bò kho; Canh rau ngót,Không chay,0,0,1,0,0,0,0,0,0,1,"Tim mạch, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc,Táo xanh,Bún riêu chay; Rau muống xào tỏi; Canh bí đỏ,Canh Súp Mandu Rong Biển Đậu Hủ Chay; Đậu phụ sốt,Không chay,1,0,0,0,0,1,0,0,0,0,"Táo bón, Thiếu máu","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu"
Xôi ngũ cốc ốp la,Khoai mì nước cốt dừa,Bún riêu chay; Rau muống xào tỏi; Canh mồng tơi,Miến om nấm (món chay); Canh rau ngót,Không chay,1,1,0,0,0,1,0,0,0,0,"Táo bón, Béo phì, Thiếu máu","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Ngũ cốc nguyên hạt + sữa hạt,Sữa chua Hy Lạp + đào,Bún riêu chay; Canh rau ngót; Canh cá nấu rau,Đậu rán (món chay); Cải thìa xào,Không chay,0,1,1,0,0,0,0,1,0,1,"Béo phì, Tim mạch, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Hạt hạnh nhân,Bún riêu chay; Rau luộc; Canh cá nấu rau,Miến nấm rau răm (Miến lươn chay); Bánh mì nhỏ,Không chay,0,1,1,0,0,0,1,0,0,1,"Béo phì, Tim mạch, Thiếu kẽm, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung kẽm và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + sữa hạt,Đậu hũ non,Gỏi bóng cá chay trộn gỏi dưa leo siêu dễ làm; Súp gà nấm đông cô; Đậu phụ hấp,Canh đậu hũ non hải sản; Măng Xào Hành Tây Rau Răm Chay; Cháo Đậu Xanh Ăn Với Đậu Tẩm Hành Chay,chay,0,1,1,1,1,0,1,1,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu kẽm, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung kẽm và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Bánh mì đen + trứng ốp la,Sữa chua Hy Lạp + đào,Bún thang; Cá hấp; Salad trộn ít dầu,Gà hấp muối; Rau luộc,Không chay,0,0,1,0,0,1,0,1,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Yến mạch + sữa hạt + chuối,Sữa chua Hy Lạp + đào,Bánh xèo miền Tây; Đậu phụ sốt; Rau luộc,Bánh mì heo quay; Rau muống xào tỏi,Không chay,0,1,1,1,1,0,0,1,0,1,"Béo phì, Tim mạch, Huyết áp, Rối loạn mỡ máu, Thiếu canxi, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp + sữa hạt,Táo xanh,Bánh mì heo quay; Cải thìa xào; Canh mồng tơi,Tôm hấp bia; Rau củ luộc,Không chay,0,0,1,0,0,0,0,0,0,1,"Tim mạch, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc + bánh karo,Sữa chua Hy Lạp + đào,Bánh khoai mì nướng; Ức gà áp chảo; Canh rau ngót,Bánh tiêu nhân đậu xanh; Salad trộn ít dầu,Không chay,0,0,1,0,1,0,0,1,1,1,"Tim mạch, Huyết áp, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp +dâu,Hạt ngũ cốc ,Sườn non chay chiên ngũ vị; Khoai lang; Rau muống xào tỏi,Cà tím nướng xạ hương chay; Cải thìa xào,Không chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Ngũ cốc nguyên hạt + sữa hạt,Chè ỉ,Canh chay đậu hủ nấu mướp và rau; Cơm gạo lứt; Dưa góp,Nấm Kim Châm Cuộn Rong Biển Chiên Giòn Chay; Rau luộc,Không chay,0,0,0,0,0,1,0,0,0,1,"Thiếu máu, Tiểu đường","Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Táo,Giò heo cuộn chiên giòn (món chay); Phở; Rau luộc,Sườn chay dồn thịt chiên; Cải thìa xào,Không chay,0,0,0,0,1,0,0,1,0,0,"Huyết áp, Thiếu canxi","Giảm muối, ổn định huyết áp, Bổ sung canxi và vitamin D"
Khoai lang hấp,Cam sành,Cơm Chiên Bí Đỏ Chay; Rau củ luộc; Canh bí đỏ,Củ cải đậu kho (chay eatclean 108kcal); Tôm nướng,Không chay,0,0,0,1,0,1,0,0,0,0,"Rối loạn mỡ máu, Thiếu máu","Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung sắt, tăng cường máu"
Khoai lang hấp,Hạt hạnh nhân,Cơm hấp/luộc rong biển cá mặn chay; Canh chua; Đậu phụ hấp,Miến Nhật hấp/luộc chay; Khoai lang nhỏ,Không chay,0,1,0,1,0,0,1,0,0,0,"Béo phì, Rối loạn mỡ máu, Thiếu kẽm","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm mỡ bão hòa, tăng chất xơ hòa tan, Bổ sung kẽm và đạm"
Khoai lang hấp,Sữa chua Hy Lạp + đào,Cải bắp trộn chay; Bánh mì; Canh bí đỏ,Sườn non chay nướng chao; Canh rau ngót,Không chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Sinh tố protein whey,Táo xanh,Nấm Mỡ hấp/luộc Cần Tây (Vegan); Bánh mì; Canh cá nấu rau,Bún đậu gạo lứt mắm tôm chay; Salad trộn ít dầu,Không chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Khoai lang hấp,Cam,Chả giò chay; Cơm gạo lứt; Rau muống xào tỏi,Món chay: khoai tây hấp/luộc hành; Tôm nướng,Không chay,0,1,0,0,0,0,0,0,0,0,Béo phì,"Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu"
Sữa ngũ cốc,Khoai mì nước cốt dừa,Canh măng tây đậu hủ chay; Bánh mì; Dưa góp,Chà bông chay; Canh rau ngót,Không chay,1,0,0,0,0,1,0,0,0,0,"Táo bón, Thiếu máu","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu"
Xôi ngũ cốc ốp la,Táo xanh,Măng Tây Trắng Xào Lá Lốt (Vegan); Bún; Đậu phụ sốt,Chả giò chay; Canh rau ngót,Không chay,1,0,0,0,0,1,0,0,1,0,"Táo bón, Thiếu máu, Suy dinh dưỡng","Tăng chất xơ, uống đủ nước, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm"
Sữa chua Hy Lạp +dâu,Chè bí đỏ,Lẩu mắm miền Tây; Khoai lang; Trứng luộc,Mực xào sa tếCá basa sốt cà chua; Canh rau ngót,Không chay,0,0,0,0,0,1,0,1,1,0,"Thiếu máu, Suy dinh dưỡng, Thiếu canxi","Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D"
Sữa ngũ cốc,Bánh mì ngũ cốc,Cháo lòng; Ức gà áp chảo; Salad trộn ít dầu,Cơm chiên dương châu; Rau muống xào tỏi; Tôm nướng,Không chay,0,0,1,0,1,1,0,0,1,1,"Tim mạch, Huyết áp, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Sữa chua Hy Lạp + đào,Bún riêu cua; Bò xào nhẹ; Cải thìa xào,Canh bí đỏ hầm xương; Tôm nướng,Không chay,1,0,0,0,0,0,0,1,0,0,"Táo bón, Thiếu canxi","Tăng chất xơ, uống đủ nước, Bổ sung canxi và vitamin D"
Ngũ cốc nguyên hạt + sữa hạt,Hạt ngũ cốc,Rau xào tam sắc (món chay); Đậu phụ sốt; Rau luộc,Canh rau ngót thịt băm chay; Mì chay sốt dầu mè,chay,0,0,1,0,0,0,0,0,0,1,"Tim mạch, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Ngũ cốc nguyên hạt + sữa hạt,Chè ỉ,Bánh thấp/luộcg cuốn thịt heo; Canh cá nấu rau; Kim chi ít cay,Bánh bèo Huế; Trứng luộc; Rau luộc,Không chay,0,0,1,0,0,1,0,0,1,1,"Tim mạch, Thiếu máu, Suy dinh dưỡng, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Tăng cân, bổ sung năng lượng và đạm, Ổn định đường huyết, Tăng chất xơ hòa tan"
Ngũ cốc nguyên hạt + sữa hạt,Sữa chua thực vật,Lẩu nấm chay; Củ cải đậu kho (chay eatclean 108kcal); Canh rau ngót,Chả nấm chay; Canh Nấm Bào Ngư Chay,chay,0,0,1,0,0,0,0,1,0,1,"Tim mạch, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Xôi ngũ cốc,Cam,Bánh ướt chả lụa; Ức gà áp chảo; Rau củ luộc,Lẩu mắm miền Tây; Cá hấp; Rau muống xào tỏi,Không chay,0,1,1,0,0,1,0,0,0,1,"Béo phì, Tim mạch, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Khoai lang hấp,Cam,Bánh bông lan trứng muối; Cải thìa xào; Canh bí đỏ,Xôi mặn; Canh rau ngót; Tôm nướng,Không chay,0,1,0,0,0,1,0,0,0,0,"Béo phì, Thiếu máu","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Bổ sung sắt, tăng cường máu"
Sinh tố protein whey,Bánh mì ngũ cốc,Bánh xèo miền Trung; Ức gà áp chảo; Rau luộc,Nghêu hấp sả; Đậu phụ sốt; Rau muống xào tỏi,Không chay,1,1,1,0,0,0,0,0,0,1,"Táo bón, Béo phì, Tim mạch, Tiểu đường","Tăng chất xơ, uống đủ nước, Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa ngũ cốc,Chè nha đam hạt sen,Bún thang; Bò xào nhẹ; Salad trộn ít dầu,Bò xào cần tỏi; Salad trộn ít dầu,Không chay,0,1,1,0,1,1,0,0,0,1,"Béo phì, Tim mạch, Huyết áp, Thiếu máu, Tiểu đường","Giảm cân, kiểm soát năng lượng, Hạn chế chất béo xấu, Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Bổ sung sắt, tăng cường máu, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua thực vật + trái cây,Sữa chua thực vật,Sườn non chay chiên ngũ vị; Rau củ luộc; Sườn chay kho nước tương mè rang,Cà tím hấp nước tương (món chay); Đậu phụ sốt; Rau củ luộc,chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Ngũ cốc nguyên hạt + sữa hạt,Sữa chua Hy Lạp + đào,Phở gà; Rau luộc; Canh cá nấu rau,Tôm hấp bia; Rau luộc,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
Sữa chua Hy Lạp + dâu,Dâu tây,Canh cua mồng tơi; Phở; Bò xào nhẹ,Bánh cuốn nhân thịt; Rau củ luộc,Không chay,0,0,0,0,0,0,0,1,0,0,Thiếu canxi,Bổ sung canxi và vitamin D
Sữa ngũ cốc + bánh karo,Bánh mì ngũ cốc,Nghêu hấp sả; Cơm trắng; Ức gà áp chảo,Bánh mì heo quay; Canh rau ngót,Không chay,0,0,1,0,0,0,0,1,1,1,"Tim mạch, Suy dinh dưỡng, Thiếu canxi, Tiểu đường","Giảm muối, ổn định huyết áp, Giảm mỡ bão hòa, tăng chất xơ, Tăng cân, bổ sung năng lượng và đạm, Bổ sung canxi và vitamin D, Ổn định đường huyết, Tăng chất xơ hòa tan"
